,score,label,ulasan,CaseFolding,Cleaning,HapusEmoji,Spasi,Tokenizing,Normalized_Words,Stopword Removal,Stemming,dataset_join
230,1,0,Sering patah-patah.loading nya lama saat live bola.mengecewakan.,sering patah-patah.loading nya lama saat live bola.mengecewakan.,sering patah patah loading nya lama saat live bola mengecewakan,sering patah patah loading nya lama saat live bola mengecewakan,sering patah patah loading nya lama saat live bola mengecewakan,"['sering', 'patah', 'patah', 'loading', 'nya', 'lama', 'saat', 'live', 'bola', 'mengecewakan']","['patah', 'patah', 'memuat', 'mengecewakan']","['patah', 'patah', 'loading', 'mengecewakan']","['patah', 'patah', 'muat', 'kecewa']",patah patah muat kecewa
231,1,0,"Ini kenapa ya padahal sudah tidak ingin berlangganan, tetapi koq masih ada ja ya pemotongan di shopipay saya ini , bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan , apk apa ini","ini kenapa ya padahal sudah tidak ingin berlangganan, tetapi koq masih ada ja ya pemotongan di shopipay saya ini , bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan , apk apa ini",ini kenapa ya padahal sudah tidak ingin berlangganan  tetapi koq masih ada ja ya pemotongan di shopipay saya ini   bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan   apk apa ini,ini kenapa ya padahal sudah tidak ingin berlangganan  tetapi koq masih ada ja ya pemotongan di shopipay saya ini   bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan   apk apa ini,ini kenapa ya padahal sudah tidak ingin berlangganan  tetapi koq masih ada ja ya pemotongan di shopipay saya ini bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan apk apa ini,"['ini', 'kenapa', 'ya', 'padahal', 'sudah', 'tidak', 'ingin', 'berlangganan', 'tetapi', 'koq', 'masih', 'ada', 'ja', 'ya', 'pemotongan', 'di', 'shopipay', 'saya', 'ini', 'bagaimana', 'ini', 'saya', 'merasa', 'dirugikan', 'padahal', 'saya', 'ingin', 'berhenti', 'tetapi', 'selalu', 'ada', 'pemotongan', 'apk', 'apa', 'ini']","['berlangganan', 'dirugikan', 'berhenti', 'aplikasi']","['berlangganan', 'dirugikan', 'berhenti', 'apk']","['langgan', 'rugi', 'henti', 'aplikasi']",langgan rugi henti aplikasi
232,1,0,"Banyak iklan, tiba tiba berhenti memutar di saat lagi nonton","banyak iklan, tiba tiba berhenti memutar di saat lagi nonton",banyak iklan  tiba tiba berhenti memutar di saat lagi nonton,banyak iklan  tiba tiba berhenti memutar di saat lagi nonton,banyak iklan  tiba tiba berhenti memutar di saat lagi nonton,"['banyak', 'iklan', 'tiba', 'tiba', 'berhenti', 'memutar', 'di', 'saat', 'lagi', 'nonton']","['iklan', 'berhenti', 'memutar', 'nonton']","['iklan', 'berhenti', 'memutar', 'nonton']","['iklan', 'henti', 'putar', 'nonton']",iklan henti putar nonton
233,1,0,"Kecewa bangat...!! Film tiba-tiba tidak bisa diputar untuk episode berikutnya, tanpa ada penjelasan..","kecewa bangat...!! film tiba-tiba tidak bisa diputar untuk episode berikutnya, tanpa ada penjelasan..",kecewa bangat      film tiba tiba tidak bisa diputar untuk episode berikutnya  tanpa ada penjelasan,kecewa bangat      film tiba tiba tidak bisa diputar untuk episode berikutnya  tanpa ada penjelasan,kecewa bangat film tiba tiba tidak bisa diputar untuk episode berikutnya  tanpa ada penjelasan,"['kecewa', 'bangat', 'film', 'tiba', 'tiba', 'tidak', 'bisa', 'diputar', 'untuk', 'episode', 'berikutnya', 'tanpa', 'ada', 'penjelasan']","['kecewa', 'bangat', 'film', 'diputar', 'episode', 'penjelasan']","['kecewa', 'bangat', 'film', 'diputar', 'episode', 'penjelasan']","['kecewa', 'bangat', 'film', 'putar', 'episode', 'jelas']",kecewa bangat film putar episode jelas
234,1,0,"Game bola fantasy, sering setelah pertandingan tiba2 hasilnya dibatalkan, udah susah patah nyusun tim, tiba-tiba selesai pertandingan kuis dibatalkan","game bola fantasy, sering setelah pertandingan tiba2 hasilnya dibatalkan, udah susah patah nyusun tim, tiba-tiba selesai pertandingan kuis dibatalkan",game bola fantasy  sering setelah pertandingan tiba  hasilnya dibatalkan  udah susah patah nyusun tim  tiba tiba selesai pertandingan kuis dibatalkan,game bola fantasy  sering setelah pertandingan tiba  hasilnya dibatalkan  udah susah patah nyusun tim  tiba tiba selesai pertandingan kuis dibatalkan,game bola fantasy  sering setelah pertandingan tiba  hasilnya dibatalkan  udah susah patah nyusun tim  tiba tiba selesai pertandingan kuis dibatalkan,"['game', 'bola', 'fantasy', 'sering', 'setelah', 'pertandingan', 'tiba', 'hasilnya', 'dibatalkan', 'udah', 'susah', 'patah', 'nyusun', 'tim', 'tiba', 'tiba', 'selesai', 'pertandingan', 'kuis', 'dibatalkan']","['pertandingan', 'hasilnya', 'dibatalkan', 'udah', 'susah', 'patah', 'nyusun', 'selesai', 'pertandingan', 'kuis', 'dibatalkan']","['pertandingan', 'hasilnya', 'dibatalkan', 'udah', 'susah', 'patah', 'nyusun', 'selesai', 'pertandingan', 'kuis', 'dibatalkan']","['tanding', 'hasil', 'batal', 'udah', 'susah', 'patah', 'nyusun', 'selesai', 'tanding', 'kuis', 'batal']",tanding hasil batal udah susah patah nyusun selesai tanding kuis batal
235,1,0,Kenapa setelah update jadi patah patah ya pas lagi streaming.,kenapa setelah update jadi patah patah ya pas lagi streaming.,kenapa setelah update jadi patah patah ya pas lagi streaming,kenapa setelah update jadi patah patah ya pas lagi streaming,kenapa setelah update jadi patah patah ya pas lagi streaming,"['kenapa', 'setelah', 'update', 'jadi', 'patah', 'patah', 'ya', 'pas', 'lagi', 'streaming']","['perbarui', 'patah', 'patah']","['update', 'patah', 'patah']","['baru', 'patah', 'patah']",baru patah patah
236,1,0,"parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah!!!"" penuh cerita yg tidak masuk akal yg berisi sindiran/hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong(maling) jawaban. AYO DONG! kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek/menjatuhkan.","parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah!!!"" penuh cerita yg tidak masuk akal yg berisi sindiran/hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong(maling) jawaban. ayo dong! kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek/menjatuhkan.",parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah     penuh cerita yg tidak masuk akal yg berisi sindiran hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong maling  jawaban  ayo dong  kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek menjatuhkan,parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah     penuh cerita yg tidak masuk akal yg berisi sindiran hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong maling  jawaban  ayo dong  kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek menjatuhkan,parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah penuh cerita yg tidak masuk akal yg berisi sindiran hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong maling  jawaban  ayo dong  kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek menjatuhkan,"['parah', 'aplikasi', 'milenial', 'jaman', 'now', 'yg', 'miskin', 'kreatifitas', 'dan', 'berjiwa', 'teroris', 'serta', 'sangat', 'tidak', 'berbobot', 'film', 'filmnya', 'bikin', 'ngakak', 'parah', 'penuh', 'cerita', 'yg', 'tidak', 'masuk', 'akal', 'yg', 'berisi', 'sindiran', 'hinaan', 'kepada', 'individu', 'yg', 'dibenci', 'karna', 'tidak', 'berpunya', 'kedua', 'orangtua', 'sang', 'aplikasi', 'membuat', 'film', 'film', 'fitnah', 'penuh', 'ujaran', 'kebencian', 'disebabkan', 'lulus', 'kuliah', 'karna', 'nyontek', 'alias', 'nyolong', 'maling', 'jawaban', 'ayo', 'dong', 'kaum', 'milenial', 'dibidang', 'seni', 'membuat', 'acara', 'hiburan', 'lebih', 'kreatif', 'lagi', 'tanpa', 'menyontek', 'menjatuhkan']","['parah', 'aplikasi', 'miskin', 'kreatifitas', 'berjiwa', 'teroris', 'berbobot', 'film', 'filmnya', 'bikin', 'ngakak', 'parah', 'penuh', 'cerita', 'masuk', 'akal', 'berisi', 'sindiran', 'hinaan', 'individu', 'dibenci', 'karena', 'berpunya', 'orangtua', 'sang', 'aplikasi', 'film', 'film', 'fitnah', 'penuh', 'ujaran', 'kebencian', 'disebabkan', 'lulus', 'kuliah', 'karena', 'menyontek', 'alias', 'mencuri', 'maling', 'kaum', 'dibidang', 'seni', 'acara', 'hiburan', 'kreatif', 'menyontek', 'menjatuhkan']","['parah', 'aplikasi', 'miskin', 'kreatifitas', 'berjiwa', 'teroris', 'berbobot', 'film', 'filmnya', 'bikin', 'ngakak', 'parah', 'penuh', 'cerita', 'masuk', 'akal', 'berisi', 'sindiran', 'hinaan', 'individu', 'dibenci', 'karna', 'berpunya', 'orangtua', 'sang', 'aplikasi', 'film', 'film', 'fitnah', 'penuh', 'ujaran', 'kebencian', 'disebabkan', 'lulus', 'kuliah', 'karna', 'nyontek', 'alias', 'nyolong', 'maling', 'kaum', 'dibidang', 'seni', 'acara', 'hiburan', 'kreatif', 'menyontek', 'menjatuhkan']","['parah', 'aplikasi', 'miskin', 'kreatifitas', 'jiwa', 'teroris', 'bobot', 'film', 'film', 'bikin', 'ngakak', 'parah', 'penuh', 'cerita', 'masuk', 'akal', 'isi', 'sindir', 'hina', 'individu', 'benci', 'karena', 'punya', 'orangtua', 'sang', 'aplikasi', 'film', 'film', 'fitnah', 'penuh', 'ujar', 'benci', 'sebab', 'lulus', 'kuliah', 'karena', 'sontek', 'alias', 'curi', 'maling', 'kaum', 'bidang', 'seni', 'acara', 'hibur', 'kreatif', 'sontek', 'jatuh']",parah aplikasi miskin kreatifitas jiwa teroris bobot film film bikin ngakak parah penuh cerita masuk akal isi sindir hina individu benci karena punya orangtua sang aplikasi film film fitnah penuh ujar benci sebab lulus kuliah karena sontek alias curi maling kaum bidang seni acara hibur kreatif sontek jatuh
237,1,0,Kenapa gak bisa buka yaa,kenapa gak bisa buka yaa,kenapa gak bisa buka yaa,kenapa gak bisa buka yaa,kenapa gak bisa buka yaa,"['kenapa', 'gak', 'bisa', 'buka', 'yaa']","['tidak', 'buka']","['gak', 'buka']","['tidak', 'buka']",tidak buka
238,1,0,Meresahkan,meresahkan,meresahkan,meresahkan,meresahkan,['meresahkan'],['meresahkan'],['meresahkan'],['resah'],resah
239,1,0,"padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya,tolong dong di perbaiki","padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya,tolong dong di perbaiki",padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya tolong dong di perbaiki,padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya tolong dong di perbaiki,padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya tolong dong di perbaiki,"['padahal', 'udah', 'beli', 'paket', 'primer', 'tapi', 'tetap', 'gak', 'bisa', 'di', 'pakek', 'paket', 'primernya', 'tolong', 'dong', 'di', 'perbaiki']","['udah', 'beli', 'tidak', 'pakai', 'primernya', 'tolong', 'perbaiki']","['udah', 'beli', 'gak', 'pakek', 'primernya', 'tolong', 'perbaiki']","['udah', 'beli', 'tidak', 'pakai', 'primer', 'tolong', 'baik']",udah beli tidak pakai primer tolong baik
240,1,0,Dimana saya mau melanjutkan nonton episode berikutnya ehhh malah menghilang dengan alasan tidak di temukan ..,dimana saya mau melanjutkan nonton episode berikutnya ehhh malah menghilang dengan alasan tidak di temukan ..,dimana saya mau melanjutkan nonton episode berikutnya ehhh malah menghilang dengan alasan tidak di temukan,dimana saya mau melanjutkan nonton episode berikutnya ehhh malah menghilang dengan alasan tidak di temukan,dimana saya mau melanjutkan nonton episode berikutnya eh malah menghilang dengan alasan tidak di temukan,"['dimana', 'saya', 'mau', 'melanjutkan', 'nonton', 'episode', 'berikutnya', 'ehhh', 'malah', 'menghilang', 'dengan', 'alasan', 'tidak', 'di', 'temukan']","['dimana', 'melanjutkan', 'nonton', 'episode', 'ehhh', 'menghilang', 'alasan', 'temukan']","['dimana', 'melanjutkan', 'nonton', 'episode', 'ehhh', 'menghilang', 'alasan', 'temukan']","['mana', 'lanjut', 'nonton', 'episode', 'ehhh', 'hilang', 'alas', 'temu']",mana lanjut nonton episode ehhh hilang alas temu
241,1,0,Apl gak guna,apl gak guna,apl gak guna,apl gak guna,apl gak guna,"['apl', 'gak', 'guna']","['aplikasi', 'tidak']","['apl', 'gak']","['aplikasi', 'tidak']",aplikasi tidak
242,1,0,Beli paket ribet,beli paket ribet,beli paket ribet,beli paket ribet,beli paket ribet,"['beli', 'paket', 'ribet']","['beli', 'ribet']","['beli', 'ribet']","['beli', 'ribet']",beli ribet
243,1,0,Aplikasi dodong . Terlalu banyak iklan,aplikasi dodong . terlalu banyak iklan,aplikasi dodong   terlalu banyak iklan,aplikasi dodong   terlalu banyak iklan,aplikasi dodong terlalu banyak iklan,"['aplikasi', 'dodong', 'terlalu', 'banyak', 'iklan']","['aplikasi', 'iklan']","['aplikasi', 'iklan']","['aplikasi', 'iklan']",aplikasi iklan
244,1,0,Aplikasi gak jelas nonton bola harus bayar 32.000rb gak kasihan sama yang belum bayar masa gitu aja bayar,aplikasi gak jelas nonton bola harus bayar 32.000rb gak kasihan sama yang belum bayar masa gitu aja bayar,aplikasi gak jelas nonton bola harus bayar    rb gak kasihan sama yang belum bayar masa gitu aja bayar,aplikasi gak jelas nonton bola harus bayar    rb gak kasihan sama yang belum bayar masa gitu aja bayar,aplikasi gak jelas nonton bola harus bayar rb gak kasihan sama yang belum bayar masa gitu aja bayar,"['aplikasi', 'gak', 'jelas', 'nonton', 'bola', 'harus', 'bayar', 'rb', 'gak', 'kasihan', 'sama', 'yang', 'belum', 'bayar', 'masa', 'gitu', 'aja', 'bayar']","['aplikasi', 'tidak', 'nonton', 'tidak', 'kasihan']","['aplikasi', 'gak', 'nonton', 'gak', 'kasihan']","['aplikasi', 'tidak', 'nonton', 'tidak', 'kasihan']",aplikasi tidak nonton tidak kasihan
245,1,0,"Aplikasi bego bat dah, sudah transfer by gopay, paket yang 59.000 plus ppn jadi 65.490, di email gopay sudah berkurang di google play juga ada struk pembelian, tapi di akun vidio masih gak ada langganan, buang buang waktu, ga guna banget nih aplikasi","aplikasi bego bat dah, sudah transfer by gopay, paket yang 59.000 plus ppn jadi 65.490, di email gopay sudah berkurang di google play juga ada struk pembelian, tapi di akun vidio masih gak ada langganan, buang buang waktu, ga guna banget nih aplikasi",aplikasi bego bat dah  sudah transfer by gopay  paket yang     plus ppn jadi      di email gopay sudah berkurang di google play juga ada struk pembelian  tapi di akun vidio masih gak ada langganan  buang buang waktu  ga guna banget nih aplikasi,aplikasi bego bat dah  sudah transfer by gopay  paket yang     plus ppn jadi      di email gopay sudah berkurang di google play juga ada struk pembelian  tapi di akun vidio masih gak ada langganan  buang buang waktu  ga guna banget nih aplikasi,aplikasi bego bat dah  sudah transfer by gopay  paket yang plus ppn jadi di email gopay sudah berkurang di google play juga ada struk pembelian  tapi di akun vidio masih gak ada langganan  buang buang waktu  ga guna banget nih aplikasi,"['aplikasi', 'bego', 'bat', 'dah', 'sudah', 'transfer', 'by', 'gopay', 'paket', 'yang', 'plus', 'ppn', 'jadi', 'di', 'email', 'gopay', 'sudah', 'berkurang', 'di', 'google', 'play', 'juga', 'ada', 'struk', 'pembelian', 'tapi', 'di', 'akun', 'vidio', 'masih', 'gak', 'ada', 'langganan', 'buang', 'buang', 'waktu', 'ga', 'guna', 'banget', 'nih', 'aplikasi']","['aplikasi', 'bodoh', 'berkurang', 'pembelian', 'akun', 'vidio', 'tidak', 'langganan', 'buang', 'buang', 'tidak', 'aplikasi']","['aplikasi', 'bego', 'berkurang', 'pembelian', 'akun', 'vidio', 'gak', 'langganan', 'buang', 'buang', 'ga', 'aplikasi']","['aplikasi', 'bodoh', 'kurang', 'beli', 'akun', 'vidio', 'tidak', 'langgan', 'buang', 'buang', 'tidak', 'aplikasi']",aplikasi bodoh kurang beli akun vidio tidak langgan buang buang tidak aplikasi
246,1,0,💩💩💩💩👎👎👎👎Mau membeli paket platinum dengan harga Rp 29000 Tidak bisa melakukan transaksi Padahal pulsa Rp33.000 Jelas pembayaran sebesar Rp 32.750 Memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan Apk gak benar Karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar 79rb tp kemudian tersedot bisa sampai 100an ribu oleh vidio Apk gak benar👎👎👎👎💩💩💩💩💩,💩💩💩💩👎👎👎👎mau membeli paket platinum dengan harga rp 29000 tidak bisa melakukan transaksi padahal pulsa rp33.000 jelas pembayaran sebesar rp 32.750 memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan apk gak benar karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar 79rb tp kemudian tersedot bisa sampai 100an ribu oleh vidio apk gak benar👎👎👎👎💩💩💩💩💩,💩💩💩💩👎👎👎👎mau membeli paket platinum dengan harga rp   tidak bisa melakukan transaksi padahal pulsa rp    jelas pembayaran sebesar rp     memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan apk gak benar karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar  rb tp kemudian tersedot bisa sampai  an ribu oleh vidio apk gak benar👎👎👎👎💩💩💩💩💩,mau membeli paket platinum dengan harga rp   tidak bisa melakukan transaksi padahal pulsa rp    jelas pembayaran sebesar rp     memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan apk gak benar karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar  rb tp kemudian tersedot bisa sampai  an ribu oleh vidio apk gak benar,mau membeli paket platinum dengan harga rp tidak bisa melakukan transaksi padahal pulsa rp jelas pembayaran sebesar rp memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan apk gak benar karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar  rb tp kemudian tersedot bisa sampai  an ribu oleh vidio apk gak benar,"['mau', 'membeli', 'paket', 'platinum', 'dengan', 'harga', 'rp', 'tidak', 'bisa', 'melakukan', 'transaksi', 'padahal', 'pulsa', 'rp', 'jelas', 'pembayaran', 'sebesar', 'rp', 'memang', 'apk', 'penyedot', 'pulsa', 'mengambil', 'pusa', 'lebih', 'dr', 'ppn', 'yg', 'ditentukan', 'apk', 'gak', 'benar', 'karena', 'pernah', 'saya', 'membeli', 'yg', 'seharusnya', 'tetal', 'dgn', 'ppnnya', 'sebsar', 'rb', 'tp', 'kemudian', 'tersedot', 'bisa', 'sampai', 'an', 'ribu', 'oleh', 'vidio', 'apk', 'gak', 'benar']","['membeli', 'harga', 'transaksi', 'pulsa', 'pembayaran', 'aplikasi', 'penyedot', 'pulsa', 'mengambil', 'dari', 'ditentukan', 'aplikasi', 'tidak', 'membeli', 'tapi', 'tersedot', 'vidio', 'aplikasi', 'tidak']","['membeli', 'harga', 'transaksi', 'pulsa', 'pembayaran', 'apk', 'penyedot', 'pulsa', 'mengambil', 'dr', 'ditentukan', 'apk', 'gak', 'membeli', 'tp', 'tersedot', 'vidio', 'apk', 'gak']","['beli', 'harga', 'transaksi', 'pulsa', 'bayar', 'aplikasi', 'sedot', 'pulsa', 'ambil', 'dari', 'tentu', 'aplikasi', 'tidak', 'beli', 'tapi', 'sedot', 'vidio', 'aplikasi', 'tidak']",beli harga transaksi pulsa bayar aplikasi sedot pulsa ambil dari tentu aplikasi tidak beli tapi sedot vidio aplikasi tidak
247,1,0,Tidak memuaskan 🙏,tidak memuaskan 🙏,tidak memuaskan 🙏,tidak memuaskan ,tidak memuaskan ,"['tidak', 'memuaskan']",['memuaskan'],['memuaskan'],['muas'],muas
248,1,0,Button susah di pencet,button susah di pencet,button susah di pencet,button susah di pencet,button susah di pencet,"['button', 'susah', 'di', 'pencet']","['tombol', 'susah', 'pencet']","['button', 'susah', 'pencet']","['tombol', 'susah', 'pencet']",tombol susah pencet
249,1,0,Kebanyakan iklan nggk jls,kebanyakan iklan nggk jls,kebanyakan iklan nggk jls,kebanyakan iklan nggk jls,kebanyakan iklan nggk jls,"['kebanyakan', 'iklan', 'nggk', 'jls']","['kebanyakan', 'iklan', 'jelas']","['kebanyakan', 'iklan', 'jls']","['banyak', 'iklan', 'jelas']",banyak iklan jelas
250,1,0,Pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara..kyk denger radio..auto uninstall,pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara..kyk denger radio..auto uninstall,pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara  kyk denger radio  auto uninstall,pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara  kyk denger radio  auto uninstall,pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara  kyk denger radio  auto uninstall,"['pas', 'komentator', 'lancar', 'jaya', 'waktu', 'pas', 'main', 'bolanya', 'gambar', 'hilang', 'cuma', 'ada', 'suara', 'kyk', 'denger', 'radio', 'auto', 'uninstall']","['komentator', 'lancar', 'jaya', 'main', 'bolanya', 'gambar', 'hilang', 'suara', 'seperti', 'denger', 'radio', 'otomatis', 'lepas pemasangan']","['komentator', 'lancar', 'jaya', 'main', 'bolanya', 'gambar', 'hilang', 'suara', 'kyk', 'denger', 'radio', 'auto', 'uninstall']","['komentator', 'lancar', 'jaya', 'main', 'bola', 'gambar', 'hilang', 'suara', 'seperti', 'denger', 'radio', 'otomatis', 'lepas pasang']",komentator lancar jaya main bola gambar hilang suara seperti denger radio otomatis lepas pasang
251,1,0,Sinyal 4G tapi loading terus aplikasi nya,sinyal 4g tapi loading terus aplikasi nya,sinyal  g tapi loading terus aplikasi nya,sinyal  g tapi loading terus aplikasi nya,sinyal  g tapi loading terus aplikasi nya,"['sinyal', 'g', 'tapi', 'loading', 'terus', 'aplikasi', 'nya']","['sinyal', 'memuat', 'aplikasi']","['sinyal', 'loading', 'aplikasi']","['sinyal', 'muat', 'aplikasi']",sinyal muat aplikasi
252,1,0,Kurang lengkap,kurang lengkap,kurang lengkap,kurang lengkap,kurang lengkap,"['kurang', 'lengkap']",['lengkap'],['lengkap'],['lengkap'],lengkap
253,1,0,"Jangan juga kelewatan pasang iklan, ke banyakan iklan","jangan juga kelewatan pasang iklan, ke banyakan iklan",jangan juga kelewatan pasang iklan  ke banyakan iklan,jangan juga kelewatan pasang iklan  ke banyakan iklan,jangan juga kelewatan pasang iklan  ke banyakan iklan,"['jangan', 'juga', 'kelewatan', 'pasang', 'iklan', 'ke', 'banyakan', 'iklan']","['kelewatan', 'pasang', 'iklan', 'banyakan', 'iklan']","['kelewatan', 'pasang', 'iklan', 'banyakan', 'iklan']","['lewat', 'pasang', 'iklan', 'banyak', 'iklan']",lewat pasang iklan banyak iklan
254,1,0,Serasa nonton iklan bukan nonton film yg ingin kita tonton.dah lh mending UNINSTALL aja nih apk GC jelas.,serasa nonton iklan bukan nonton film yg ingin kita tonton.dah lh mending uninstall aja nih apk gc jelas.,serasa nonton iklan bukan nonton film yg ingin kita tonton dah lh mending uninstall aja nih apk gc jelas,serasa nonton iklan bukan nonton film yg ingin kita tonton dah lh mending uninstall aja nih apk gc jelas,serasa nonton iklan bukan nonton film yg ingin kita tonton dah lh mending uninstall aja nih apk gc jelas,"['serasa', 'nonton', 'iklan', 'bukan', 'nonton', 'film', 'yg', 'ingin', 'kita', 'tonton', 'dah', 'lh', 'mending', 'uninstall', 'aja', 'nih', 'apk', 'gc', 'jelas']","['serasa', 'nonton', 'iklan', 'nonton', 'film', 'tonton', 'mending', 'lepas pemasangan', 'aplikasi']","['serasa', 'nonton', 'iklan', 'nonton', 'film', 'tonton', 'mending', 'uninstall', 'apk']","['serasa', 'nonton', 'iklan', 'nonton', 'film', 'tonton', 'mending', 'lepas pasang', 'aplikasi']",serasa nonton iklan nonton film tonton mending lepas pasang aplikasi
255,1,0,Aneh saya sudah bayar tapi nggak masuk',aneh saya sudah bayar tapi nggak masuk',aneh saya sudah bayar tapi nggak masuk,aneh saya sudah bayar tapi nggak masuk,aneh saya sudah bayar tapi nggak masuk,"['aneh', 'saya', 'sudah', 'bayar', 'tapi', 'nggak', 'masuk']","['aneh', 'tidak', 'masuk']","['aneh', 'nggak', 'masuk']","['aneh', 'tidak', 'masuk']",aneh tidak masuk
256,1,0,Super loding banget. pakek wifi juga tetep. Udah berlangganan juga tetep gak bisa nonton. 😡😡,super loding banget. pakek wifi juga tetep. udah berlangganan juga tetep gak bisa nonton. 😡😡,super loding banget  pakek wifi juga tetep  udah berlangganan juga tetep gak bisa nonton  😡😡,super loding banget  pakek wifi juga tetep  udah berlangganan juga tetep gak bisa nonton  ,super loding banget  pakek wifi juga tetep  udah berlangganan juga tetep gak bisa nonton  ,"['super', 'loding', 'banget', 'pakek', 'wifi', 'juga', 'tetep', 'udah', 'berlangganan', 'juga', 'tetep', 'gak', 'bisa', 'nonton']","['pakai', 'tetap', 'udah', 'berlangganan', 'tetap', 'tidak', 'nonton']","['pakek', 'tetep', 'udah', 'berlangganan', 'tetep', 'gak', 'nonton']","['pakai', 'tetap', 'udah', 'langgan', 'tetap', 'tidak', 'nonton']",pakai tetap udah langgan tetap tidak nonton
